ID,TeamName,BatsmanName,Wicket_Information,Outby_BowlerCatch,Outby_FielderCatch,Outby_Bowled,Outby_LBW,Outby_Runout,Player_RetiredHurt,Player_NotOut,Runs_Scored,Balls_Faced,Fours_hit,Sixes_hit,Strike_Rate,Season/Year,scoreboard_url
6012,Mumbai Indians,Kieron Pollard,not out,,,,,,,1,47,20,3,4,235,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-mumbai-indians-13th-match-1216503/full-scorecard
6013,Mumbai Indians,Hardik Pandya,not out,,,,,,,1,30,11,3,2,272.72,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-mumbai-indians-13th-match-1216503/full-scorecard
6014,Sunrisers Hyderabad,David Warner,c du Plessis b Chawla,,1,,,,,,28,29,3,0,96.55,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-sunrisers-hyderabad-14th-match-1216516/full-scorecard
6015,Sunrisers Hyderabad,Jonny Bairstow,b Chahar,,,1,,,,,0,3,0,0,0,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-sunrisers-hyderabad-14th-match-1216516/full-scorecard
6016,Sunrisers Hyderabad,Manish Pandey,c Curran b Thakur,,1,,,,,,29,21,5,0,138.09,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-sunrisers-hyderabad-14th-match-1216516/full-scorecard
6017,Sunrisers Hyderabad,Kane Williamson,run out (Rayudu/ Dhoni),,,,,1,,,9,13,1,0,69.23,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-sunrisers-hyderabad-14th-match-1216516/full-scorecard
6018,Sunrisers Hyderabad,Priyam Garg,not out,,,,,,,1,51,26,6,1,196.15,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-sunrisers-hyderabad-14th-match-1216516/full-scorecard
6019,Sunrisers Hyderabad,Abhishek Sharma,c  Dhoni b Chahar,,1,,,,,,31,24,4,1,129.16,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-sunrisers-hyderabad-14th-match-1216516/full-scorecard
6020,Sunrisers Hyderabad,Abdul Samad,not out,,,,,,,1,8,6,0,0,133.33,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-sunrisers-hyderabad-14th-match-1216516/full-scorecard
6021,Rajasthan Royals,Jos Buttler,c Padikkal b Saini,,1,,,,,,22,12,3,1,183.33,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514/full-scorecard
6022,Rajasthan Royals,Steven Smith,b Udana,,,1,,,,,5,5,1,0,100,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514/full-scorecard
6023,Rajasthan Royals,Sanju Samson,c & b Chahal,1,,,,,,,4,3,1,0,133.33,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514/full-scorecard
6024,Rajasthan Royals,Robin Uthappa,c Udana b Chahal,,1,,,,,,17,22,1,0,77.27,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514/full-scorecard
6025,Rajasthan Royals,Mahipal Lomror,c Padikkal b Chahal,,1,,,,,,47,39,1,3,120.51,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514/full-scorecard
6026,Rajasthan Royals,Riyan Parag,c Finch b Udana,,1,,,,,,16,18,1,0,88.88,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514/full-scorecard
6027,Rajasthan Royals,Rahul Tewatia,not out,,,,,,,1,24,12,0,3,200,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514/full-scorecard
6028,Rajasthan Royals,Jofra Archer,not out,,,,,,,1,16,10,1,1,160,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514/full-scorecard
6029,Delhi Capitals,Prithvi Shaw,c Shubman Gill b Nagarkoti,,1,,,,,,66,41,4,4,160.97,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515/full-scorecard
6030,Delhi Capitals,Shikhar Dhawan,c Morgan b Varun,,1,,,,,,26,16,2,2,162.5,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515/full-scorecard
6031,Delhi Capitals,Shreyas Iyer,not out,,,,,,,1,88,38,7,6,231.57,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515/full-scorecard
6032,Delhi Capitals,Rishabh Pant,c Shivam Mavi b Russell,,1,,,,,,38,17,5,1,223.52,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515/full-scorecard
6033,Delhi Capitals,Marcus Stoinis,c Varun b Russell,,1,,,,,,1,3,0,0,33.33,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515/full-scorecard
6034,Delhi Capitals,Shimron Hetmyer,not out,,,,,,,1,7,5,0,1,140,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515/full-scorecard
6035,Mumbai Indians,Rohit Sharma,c  Bairstow b Sandeep Sharma,,1,,,,,,6,5,0,1,120,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538/full-scorecard
6036,Mumbai Indians,Quinton de Kock,c & b Rashid Khan,1,,,,,,,67,39,4,4,171.79,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538/full-scorecard
6037,Mumbai Indians,Suryakumar Yadav,c Natarajan b Kaul,,1,,,,,,27,18,6,0,150,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538/full-scorecard
6038,Mumbai Indians,Ishan Kishan,c Pandey b Sandeep Sharma,,1,,,,,,31,23,1,2,134.78,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538/full-scorecard
6039,Mumbai Indians,Hardik Pandya,b Kaul,,,1,,,,,28,19,2,2,147.36,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538/full-scorecard
6040,Mumbai Indians,Kieron Pollard,not out,,,,,,,1,25,13,0,3,192.3,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538/full-scorecard
6041,Mumbai Indians,Krunal Pandya,not out,,,,,,,1,20,4,2,2,500,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538/full-scorecard
6042,Kings XI Punjab,KL Rahul,c  Dhoni b Thakur,,1,,,,,,63,52,7,1,121.15,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513/full-scorecard
